18 Mar 2020 12:15:47,847 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:47,853 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:47,854 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:47,858 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:47,859 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:48,545 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:48,589 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:48,590 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:48,608 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:48,614 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27205, Current connections count : 1
18 Mar 2020 12:15:49,315 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 27209, Time : 43, Current connections count : 2
18 Mar 2020 12:15:49,348 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27209, Current connections count : 2
18 Mar 2020 12:15:50,619 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:50,626 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:50,714 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:50,717 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:50,718 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:50,747 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:50,749 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:50,956 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:50,959 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:50,961 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:50,963 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,188 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,196 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,198 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,200 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,208 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,216 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,217 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,218 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,221 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,223 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,224 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,226 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,293 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,295 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,300 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,301 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,322 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,330 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,332 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,333 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,440 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,441 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,444 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,445 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,451 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,452 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,454 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,456 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,460 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,461 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,464 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,469 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,472 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,475 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,484 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,487 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,491 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,494 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,497 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,504 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,510 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,511 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,515 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,516 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,520 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,521 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,523 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,525 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,558 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:51,999 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,008 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,010 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,017 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,018 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,020 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,021 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,025 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,035 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,037 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,038 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,040 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,041 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,042 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,043 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,046 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,048 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,052 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,053 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,090 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,094 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,101 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,102 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27209, Current connections count : 2
18 Mar 2020 12:15:52,104 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,105 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,107 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,110 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27209, Current connections count : 2
18 Mar 2020 12:15:52,116 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27209, Current connections count : 2
18 Mar 2020 12:15:52,121 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,122 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,132 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,134 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,147 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,149 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,150 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,175 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27205, Current connections count : 2
18 Mar 2020 12:15:52,176 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 27221, Time : 54, Current connections count : 3
18 Mar 2020 12:15:52,194 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:52,213 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:52,217 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:52,290 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:52,314 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:52,356 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 27221, Current connections count : 3
18 Mar 2020 12:15:52,358 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27209, Current connections count : 3
18 Mar 2020 12:15:52,358 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 1) CONNECTION : 27209, Current connections count : 3
18 Mar 2020 12:15:52,450 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 2) CONNECTION : 27209, Current connections count : 3
18 Mar 2020 12:15:52,495 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:52,495 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:52,609 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:52,661 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:52,662 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:52,672 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:52,906 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:52,912 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:53,747 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:53,758 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:58,650 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:58,655 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:15:58,697 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:16:22,097 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:16:22,098 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:16:52,100 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:16:52,103 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:17:22,108 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:17:22,111 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:17:52,114 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:17:52,117 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:18:22,120 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:18:22,124 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:18:52,127 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:18:52,129 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:19:22,133 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:19:22,135 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:19:52,139 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:19:52,140 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:20:22,150 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:20:22,152 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:20:52,155 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:20:52,157 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:21:22,161 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:21:22,162 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:21:52,166 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 2) CONNECTION : 27205, Current connections count : 3
18 Mar 2020 12:21:52,167 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 3) CONNECTION : 27205, Current connections count : 3
19 мар 2020 14:56:54,709 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION : 12196, Time : 35, Current connections count : 1
19 мар 2020 14:56:54,723 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 12196, Current connections count : 1
19 мар 2020 14:56:55,089 system - system - system  INFO SQLConnectionLogger - NEW CONNECTION FROM CACHE (size : 0) CONNECTION : 12196, Current connections count : 1
19 мар 2020 14:56:55,155 system - system - system  INFO SQLConnectionLogger - CLOSE CONNECTION TO CACHE (size : 1) CONNECTION : 12196, Current connections count : 1
